Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
CA-2017-752483,12/29/2018,12/30/2018,Same Day,ID-87580,Home Office,United States,New York,California,South,Furniture,Accessories,189.91,5,0.3,4.11
CA-2019-442722,11/22/2017,11/29/2017,Same Day,ID-46471,Corporate,United States,Chicago,California,South,Furniture,Tables,61.56,6,0.1,8.87
CA-2016-890870,3/4/2016,3/6/2016,Second Class,ID-12671,Home Office,United States,Los Angeles,Texas,East,Office Supplies,Chairs,568.33,4,0.3,71.52
CA-2018-275939,5/25/2019,5/30/2019,Standard Class,ID-31465,Corporate,United States,New York,Illinois,West,Office Supplies,Tables,680.57,7,0.3,131.77
CA-2017-179688,4/27/2019,5/3/2019,Second Class,ID-23356,Home Office,United States,Chicago,Illinois,West,Technology,Chairs,353.73,7,0.2,-20.49
CA-2018-113266,5/10/2018,5/17/2018,Same Day,ID-23833,Corporate,United States,Chicago,Florida,East,Office Supplies,Phones,736.46,5,0.3,44.31
CA-2018-437960,5/17/2017,5/24/2017,Standard Class,ID-46559,Corporate,United States,Los Angeles,Florida,South,Office Supplies,Chairs,499.36,6,0.1,42.7
CA-2018-936587,6/13/2017,6/16/2017,First Class,ID-88139,Home Office,United States,Chicago,Illinois,West,Technology,Phones,94.76,7,0.3,8.1
CA-2017-824156,9/2/2018,9/8/2018,Same Day,ID-68743,Consumer,United States,New York,New York,East,Office Supplies,Phones,313.14,10,0.2,22.37
CA-2018-546173,2/1/2019,2/4/2019,First Class,ID-69473,Corporate,United States,Chicago,New York,East,Furniture,Phones,322.39,9,0.1,-6.78
CA-2019-389930,4/22/2019,4/29/2019,First Class,ID-23176,Consumer,United States,Chicago,Texas,Central,Furniture,Binders,24.01,9,0.1,0.21
CA-2016-680238,8/21/2017,8/27/2017,Second Class,ID-93606,Corporate,United States,New York,California,Central,Office Supplies,Accessories,446.06,3,0,0.44
CA-2019-219629,5/13/2016,5/17/2016,Same Day,ID-19710,Home Office,United States,New York,Texas,East,Technology,Binders,94.33,4,0,11.62
CA-2019-735770,5/5/2019,5/12/2019,Second Class,ID-78494,Corporate,United States,Houston,Florida,Central,Technology,Accessories,312.33,10,0,44.93
CA-2016-899787,3/1/2017,3/7/2017,Second Class,ID-44687,Home Office,United States,New York,Texas,East,Furniture,Tables,84.31,1,0.3,4.73
CA-2019-405407,3/7/2016,3/9/2016,First Class,ID-47056,Home Office,United States,Houston,California,East,Office Supplies,Tables,664.57,4,0.3,-25.16
CA-2017-779094,11/1/2016,11/4/2016,Second Class,ID-19359,Consumer,United States,Los Angeles,New York,Central,Office Supplies,Chairs,474.01,5,0.3,91.93
CA-2019-559023,6/13/2016,6/18/2016,Standard Class,ID-66626,Home Office,United States,Chicago,Illinois,Central,Furniture,Chairs,236.64,10,0,70.95
CA-2018-704238,3/23/2016,3/30/2016,Second Class,ID-71669,Home Office,United States,Houston,New York,East,Technology,Accessories,638.44,8,0,56.19
CA-2019-449499,10/19/2017,10/25/2017,Standard Class,ID-31079,Corporate,United States,Houston,Florida,Central,Technology,Accessories,815.43,9,0,66.81
CA-2018-364659,10/24/2017,10/25/2017,Same Day,ID-77449,Consumer,United States,Phoenix,Florida,South,Furniture,Phones,523.25,10,0.3,55
CA-2016-313446,6/30/2017,7/5/2017,Second Class,ID-47752,Corporate,United States,Houston,California,West,Technology,Tables,801.32,3,0.2,77.14
CA-2019-197736,4/5/2017,4/12/2017,Standard Class,ID-70482,Consumer,United States,Los Angeles,Florida,Central,Technology,Binders,421.34,8,0.3,-0.74
CA-2017-502219,1/25/2017,1/30/2017,Second Class,ID-19150,Corporate,United States,Houston,New York,Central,Furniture,Binders,728.79,10,0.3,125.55
CA-2019-664742,9/18/2018,9/21/2018,First Class,ID-82340,Home Office,United States,Houston,Florida,Central,Furniture,Phones,576.08,4,0.3,-33.29
CA-2019-839485,2/19/2018,2/23/2018,Second Class,ID-74923,Consumer,United States,Los Angeles,Illinois,Central,Furniture,Accessories,108.71,8,0,20.54
CA-2019-786587,11/12/2016,11/13/2016,Same Day,ID-44737,Corporate,United States,Phoenix,Florida,West,Office Supplies,Tables,386.21,6,0.3,67.3
CA-2016-747453,5/20/2016,5/22/2016,First Class,ID-39817,Home Office,United States,New York,Florida,West,Technology,Chairs,449.24,5,0,-36.66
CA-2016-407618,1/4/2018,1/7/2018,Same Day,ID-29080,Consumer,United States,Phoenix,Florida,East,Furniture,Phones,88.18,7,0.1,7.86
CA-2017-343467,8/2/2018,8/8/2018,First Class,ID-70236,Corporate,United States,New York,Florida,Central,Technology,Tables,166.4,8,0.2,39.28
CA-2018-769975,5/18/2018,5/24/2018,First Class,ID-69878,Corporate,United States,Los Angeles,Florida,South,Furniture,Phones,387.55,6,0.2,92.11
CA-2018-123005,9/10/2019,9/14/2019,First Class,ID-11061,Home Office,United States,New York,Illinois,South,Office Supplies,Phones,610.99,6,0.1,85.04
CA-2018-810687,9/12/2019,9/18/2019,Second Class,ID-92345,Consumer,United States,New York,New York,South,Furniture,Tables,371.21,3,0,97.94
CA-2018-883790,4/30/2018,5/2/2018,Second Class,ID-27322,Home Office,United States,Chicago,Illinois,Central,Furniture,Binders,914.91,8,0.2,145.38
CA-2018-943298,8/23/2016,8/27/2016,Standard Class,ID-28449,Consumer,United States,Houston,Illinois,Central,Furniture,Accessories,23.78,9,0,1.95
CA-2018-712955,2/19/2018,2/26/2018,First Class,ID-24201,Home Office,United States,Los Angeles,Florida,West,Technology,Tables,334.73,10,0.1,47.92
CA-2019-835132,9/10/2017,9/16/2017,Same Day,ID-25292,Consumer,United States,New York,California,Central,Office Supplies,Chairs,106.22,9,0.1,5.3
CA-2018-803055,11/27/2019,12/2/2019,Same Day,ID-86983,Home Office,United States,Los Angeles,Florida,West,Office Supplies,Tables,414.03,5,0,72.92
CA-2017-564920,6/29/2018,7/1/2018,First Class,ID-23022,Home Office,United States,Chicago,Illinois,Central,Furniture,Accessories,283.12,2,0.3,-12.55
CA-2017-772875,8/2/2019,8/7/2019,Standard Class,ID-16629,Corporate,United States,Los Angeles,Texas,East,Furniture,Tables,215.09,4,0.1,6.08
CA-2017-926952,5/5/2019,5/6/2019,First Class,ID-28964,Consumer,United States,Phoenix,New York,East,Furniture,Chairs,140.49,6,0.1,17.14
CA-2016-282710,6/27/2017,6/28/2017,Second Class,ID-65176,Home Office,United States,New York,California,South,Office Supplies,Binders,518.11,2,0.3,36.82
CA-2016-862569,9/11/2019,9/16/2019,First Class,ID-70036,Home Office,United States,New York,California,South,Office Supplies,Accessories,689.24,8,0.3,-34.06
CA-2016-437758,5/30/2019,6/1/2019,Standard Class,ID-26540,Corporate,United States,Phoenix,Illinois,Central,Office Supplies,Tables,535.25,8,0.3,-22.6
CA-2016-994217,9/2/2019,9/8/2019,Second Class,ID-66370,Corporate,United States,Los Angeles,Florida,Central,Office Supplies,Accessories,421.83,2,0.2,23.86
CA-2018-492483,11/8/2016,11/14/2016,Same Day,ID-18799,Consumer,United States,New York,California,South,Furniture,Binders,813.65,9,0,109.51
CA-2018-802559,9/7/2016,9/11/2016,First Class,ID-97207,Corporate,United States,New York,New York,Central,Office Supplies,Chairs,582.14,4,0.1,85.24
CA-2017-988432,8/9/2016,8/12/2016,First Class,ID-25058,Corporate,United States,Phoenix,Texas,South,Technology,Tables,617.44,9,0,88.66
CA-2018-130359,1/4/2017,1/7/2017,First Class,ID-54541,Corporate,United States,New York,Texas,East,Technology,Accessories,78.89,1,0,15.66
CA-2017-494468,5/9/2018,5/13/2018,First Class,ID-30631,Corporate,United States,Chicago,New York,West,Furniture,Phones,165.84,10,0,28.12
CA-2018-564637,9/17/2019,9/21/2019,Same Day,ID-89570,Corporate,United States,Houston,New York,East,Technology,Chairs,351.72,2,0.2,48.2
CA-2019-652530,9/28/2019,10/1/2019,Standard Class,ID-38903,Corporate,United States,Phoenix,California,West,Furniture,Binders,945.87,3,0.2,11.94
CA-2016-108105,10/15/2018,10/21/2018,Same Day,ID-33028,Consumer,United States,Houston,Illinois,East,Technology,Tables,835.02,6,0,49.12
CA-2016-557409,2/8/2016,2/12/2016,Standard Class,ID-51033,Home Office,United States,Houston,Illinois,South,Technology,Accessories,296.62,7,0,84.98
CA-2017-940247,6/19/2019,6/23/2019,First Class,ID-21551,Corporate,United States,New York,Texas,South,Technology,Accessories,528.72,7,0.2,83.89
CA-2017-449247,12/10/2016,12/11/2016,Standard Class,ID-79547,Home Office,United States,Los Angeles,New York,Central,Technology,Phones,243.91,3,0.2,-4.12
CA-2017-897143,9/4/2019,9/5/2019,Second Class,ID-92306,Corporate,United States,Houston,Illinois,South,Technology,Tables,646.56,10,0.2,127.09
CA-2018-258290,6/19/2018,6/20/2018,Same Day,ID-67961,Home Office,United States,Chicago,New York,West,Office Supplies,Tables,83.45,8,0.3,-4.96
CA-2018-972097,8/10/2017,8/11/2017,Standard Class,ID-90610,Home Office,United States,Phoenix,Florida,South,Technology,Tables,954.69,1,0.3,176.17
CA-2017-437145,5/24/2019,5/28/2019,Second Class,ID-18109,Corporate,United States,New York,New York,West,Technology,Phones,48.75,8,0.3,3.74
CA-2017-481574,2/2/2018,2/5/2018,Same Day,ID-63578,Corporate,United States,Phoenix,California,Central,Furniture,Binders,103.56,7,0.2,0.07
CA-2017-449555,6/15/2016,6/20/2016,Second Class,ID-55851,Corporate,United States,Houston,Texas,West,Office Supplies,Tables,382.91,6,0.1,57.91
CA-2016-777406,10/5/2019,10/9/2019,First Class,ID-12389,Corporate,United States,Chicago,Texas,East,Office Supplies,Accessories,200.09,3,0.1,-12.45
CA-2016-632351,1/10/2019,1/17/2019,Standard Class,ID-96760,Corporate,United States,Phoenix,Texas,South,Furniture,Phones,189.04,10,0.1,32.07
CA-2016-530816,1/16/2018,1/22/2018,Second Class,ID-68222,Home Office,United States,Chicago,Florida,East,Technology,Phones,316.37,8,0.1,13.42
CA-2019-584106,7/31/2017,8/7/2017,Same Day,ID-75916,Home Office,United States,Houston,Texas,East,Technology,Phones,874.27,1,0.3,152.78
CA-2016-845957,11/22/2018,11/29/2018,Standard Class,ID-47363,Consumer,United States,Los Angeles,New York,South,Technology,Phones,832.74,2,0.1,169.89
CA-2018-127965,4/29/2018,4/30/2018,Same Day,ID-75799,Corporate,United States,Los Angeles,Florida,West,Office Supplies,Phones,37.91,2,0.2,6.57
CA-2017-140163,8/10/2017,8/17/2017,Same Day,ID-28191,Home Office,United States,Houston,Florida,West,Furniture,Chairs,263.36,3,0.3,-10.24
CA-2018-349183,9/8/2017,9/9/2017,Standard Class,ID-41252,Corporate,United States,Phoenix,Florida,West,Furniture,Accessories,600.77,1,0.1,101.34
CA-2018-550089,1/4/2016,1/9/2016,First Class,ID-41531,Home Office,United States,Houston,Texas,West,Technology,Binders,77,9,0,4.33
CA-2019-145649,7/25/2019,7/29/2019,First Class,ID-43246,Home Office,United States,New York,New York,West,Office Supplies,Phones,735.61,2,0.2,-27.44
CA-2018-672536,11/24/2017,12/1/2017,Second Class,ID-99742,Corporate,United States,Houston,Texas,East,Furniture,Accessories,46.61,4,0,10.09
CA-2016-430926,9/27/2017,10/2/2017,Same Day,ID-81176,Corporate,United States,Chicago,California,East,Office Supplies,Binders,863.52,1,0.2,6.42
CA-2018-558176,3/30/2018,4/5/2018,Same Day,ID-60678,Corporate,United States,Los Angeles,Florida,South,Office Supplies,Tables,274.05,2,0.3,-13.13
CA-2017-671971,8/24/2017,8/27/2017,Standard Class,ID-20494,Corporate,United States,Chicago,New York,South,Technology,Accessories,174.98,8,0.2,11.04
CA-2018-744718,6/9/2018,6/12/2018,Standard Class,ID-19835,Home Office,United States,Houston,New York,East,Furniture,Phones,850.18,8,0,-42.09
CA-2017-916332,8/14/2019,8/17/2019,First Class,ID-60181,Home Office,United States,New York,Illinois,East,Technology,Accessories,949.34,6,0.3,136.39
CA-2017-655178,1/21/2018,1/25/2018,First Class,ID-95139,Corporate,United States,Los Angeles,California,West,Technology,Phones,504.05,7,0,2.37
CA-2018-838237,7/2/2018,7/4/2018,First Class,ID-74382,Consumer,United States,New York,Texas,West,Office Supplies,Phones,899.69,8,0,201.72
CA-2018-800280,12/12/2017,12/18/2017,Standard Class,ID-82089,Home Office,United States,Chicago,New York,East,Technology,Phones,795.76,9,0.1,-36.85
CA-2017-930541,10/11/2016,10/13/2016,Same Day,ID-13445,Corporate,United States,Phoenix,Illinois,Central,Office Supplies,Tables,138.47,2,0,3.28
CA-2019-651231,4/21/2018,4/28/2018,Same Day,ID-85353,Consumer,United States,Los Angeles,New York,West,Office Supplies,Accessories,683.31,6,0.1,154.47
CA-2017-905077,9/21/2016,9/25/2016,Standard Class,ID-26274,Home Office,United States,Los Angeles,New York,East,Furniture,Binders,935.39,4,0.2,208.77
CA-2018-987025,6/10/2016,6/13/2016,Second Class,ID-93238,Home Office,United States,Chicago,Texas,Central,Technology,Tables,102.49,3,0.1,-2.91
CA-2018-983456,2/28/2019,3/1/2019,Standard Class,ID-20646,Consumer,United States,Phoenix,New York,East,Technology,Accessories,621.93,1,0.3,111.28
CA-2018-773088,9/10/2017,9/14/2017,Second Class,ID-99783,Corporate,United States,Chicago,Florida,West,Technology,Chairs,166.5,7,0.3,10
CA-2018-736129,10/21/2016,10/24/2016,First Class,ID-55268,Corporate,United States,Los Angeles,New York,West,Office Supplies,Phones,471.81,5,0.3,-0.27
CA-2016-153063,8/17/2017,8/21/2017,Same Day,ID-42541,Consumer,United States,Chicago,Illinois,Central,Furniture,Phones,503.28,9,0.3,35.05
CA-2018-621530,2/17/2016,2/18/2016,Same Day,ID-76249,Corporate,United States,Los Angeles,Texas,Central,Furniture,Chairs,288.54,10,0.3,2.89
CA-2016-988324,8/8/2016,8/12/2016,Second Class,ID-44664,Home Office,United States,Chicago,Florida,Central,Furniture,Accessories,60.65,9,0.1,2.46
CA-2018-177103,3/2/2018,3/7/2018,Same Day,ID-82070,Corporate,United States,Phoenix,Illinois,West,Furniture,Chairs,399.96,6,0.2,64.63
CA-2017-731728,11/8/2018,11/12/2018,Standard Class,ID-15938,Consumer,United States,Los Angeles,New York,South,Technology,Accessories,157.45,9,0.1,4.42
CA-2018-270395,3/15/2018,3/20/2018,First Class,ID-87820,Corporate,United States,Phoenix,Illinois,South,Technology,Tables,306.79,1,0.2,7.98
CA-2016-536774,4/10/2019,4/13/2019,Standard Class,ID-88238,Corporate,United States,Chicago,Illinois,East,Technology,Chairs,587.69,3,0.3,-16.82
CA-2017-133104,3/18/2019,3/24/2019,Standard Class,ID-35006,Consumer,United States,Houston,New York,South,Furniture,Accessories,693.6,7,0.3,120.96
CA-2016-840058,10/9/2016,10/14/2016,Second Class,ID-83516,Corporate,United States,Houston,Illinois,South,Office Supplies,Phones,465.07,9,0.2,44.09
CA-2018-739711,9/18/2018,9/20/2018,Second Class,ID-46569,Home Office,United States,Chicago,Texas,Central,Office Supplies,Phones,693.34,8,0.2,50.99
CA-2018-401769,9/6/2016,9/11/2016,Same Day,ID-61712,Corporate,United States,Los Angeles,New York,West,Office Supplies,Chairs,352.9,8,0.2,56.16
CA-2017-311883,1/8/2019,1/11/2019,First Class,ID-27992,Consumer,United States,Phoenix,Illinois,East,Furniture,Chairs,673.14,9,0.1,94.01
CA-2016-205065,4/26/2018,4/29/2018,Same Day,ID-23178,Home Office,United States,Los Angeles,California,East,Office Supplies,Accessories,482.67,4,0.2,10.99
CA-2016-906066,7/2/2016,7/8/2016,Second Class,ID-80143,Home Office,United States,New York,Texas,South,Furniture,Chairs,997.2,7,0.3,-17.78
CA-2018-139286,1/19/2016,1/22/2016,Standard Class,ID-53914,Corporate,United States,Houston,Illinois,South,Furniture,Tables,473.34,4,0,15.28
CA-2019-779776,6/10/2017,6/16/2017,Second Class,ID-11846,Home Office,United States,Chicago,New York,East,Furniture,Tables,857.59,7,0.3,63.7
CA-2016-520304,10/2/2019,10/3/2019,Second Class,ID-28430,Corporate,United States,Chicago,Texas,West,Office Supplies,Accessories,243.17,5,0.2,4.04
CA-2016-374258,8/31/2019,9/3/2019,Second Class,ID-18142,Home Office,United States,New York,Florida,Central,Furniture,Accessories,689.21,5,0,107.16
CA-2018-485397,6/12/2019,6/14/2019,Second Class,ID-27507,Corporate,United States,Los Angeles,Florida,Central,Office Supplies,Tables,913.67,9,0.1,168.36
CA-2016-651033,7/3/2018,7/8/2018,First Class,ID-20237,Home Office,United States,New York,California,East,Technology,Tables,158.35,6,0.3,-5.93
CA-2017-851742,4/9/2019,4/13/2019,Standard Class,ID-76895,Corporate,United States,New York,Florida,East,Technology,Accessories,462.23,1,0.3,54.72
CA-2018-858414,2/14/2016,2/18/2016,First Class,ID-10395,Home Office,United States,Los Angeles,Illinois,West,Furniture,Accessories,351.08,2,0,96.14
CA-2016-595002,3/5/2016,3/8/2016,Same Day,ID-33590,Consumer,United States,Houston,New York,South,Office Supplies,Accessories,381.89,9,0.1,55.48
CA-2018-224395,12/31/2016,1/5/2017,Same Day,ID-79316,Consumer,United States,Los Angeles,California,West,Office Supplies,Accessories,676.76,9,0.3,53.42
CA-2017-359535,8/1/2018,8/4/2018,Second Class,ID-46129,Consumer,United States,New York,California,South,Technology,Chairs,248.26,2,0,34.16
CA-2019-726822,10/8/2019,10/14/2019,Standard Class,ID-42077,Home Office,United States,New York,Florida,South,Furniture,Tables,225.1,1,0.1,20.57
CA-2018-345536,3/25/2019,3/28/2019,First Class,ID-41051,Corporate,United States,Los Angeles,Illinois,East,Office Supplies,Binders,282.4,9,0.1,38.22
CA-2019-682851,10/12/2018,10/13/2018,First Class,ID-94320,Home Office,United States,Houston,Illinois,Central,Technology,Accessories,414.18,5,0.3,-7.67
CA-2019-352673,4/6/2017,4/9/2017,Second Class,ID-70689,Consumer,United States,Phoenix,Florida,South,Technology,Tables,142.75,4,0.2,-2.13
CA-2016-571635,1/29/2018,1/30/2018,Second Class,ID-16755,Corporate,United States,Houston,Illinois,West,Furniture,Phones,806.6,10,0.1,66.61
CA-2018-417915,2/1/2016,2/3/2016,Second Class,ID-25376,Home Office,United States,Houston,Texas,East,Office Supplies,Phones,556.56,5,0.3,33.7
CA-2018-423404,6/19/2017,6/22/2017,Same Day,ID-71080,Consumer,United States,Houston,New York,East,Office Supplies,Binders,419.79,10,0.1,74.24
CA-2016-373441,2/7/2019,2/12/2019,Same Day,ID-48691,Consumer,United States,Los Angeles,New York,East,Office Supplies,Tables,835.03,8,0.2,1.96
CA-2019-858705,8/7/2019,8/13/2019,Same Day,ID-70401,Consumer,United States,Chicago,Texas,East,Technology,Tables,493.43,9,0,54.07
CA-2016-957730,9/30/2019,10/1/2019,Standard Class,ID-64053,Consumer,United States,Los Angeles,California,East,Furniture,Phones,510.68,6,0,75.14
CA-2019-791309,9/26/2018,9/27/2018,Standard Class,ID-79758,Home Office,United States,Houston,California,West,Technology,Binders,540.38,5,0,54.52
CA-2019-945328,1/2/2017,1/3/2017,Standard Class,ID-78732,Consumer,United States,Los Angeles,Texas,Central,Office Supplies,Binders,796.99,2,0.2,180.9
CA-2019-692447,5/13/2017,5/19/2017,Second Class,ID-49318,Home Office,United States,New York,California,West,Office Supplies,Accessories,383.4,8,0,59.31
CA-2017-186702,10/20/2018,10/27/2018,Same Day,ID-94529,Corporate,United States,Phoenix,California,West,Furniture,Phones,902.26,10,0.3,5.33
CA-2016-817675,7/28/2017,8/2/2017,Standard Class,ID-33508,Corporate,United States,New York,Texas,East,Technology,Accessories,929.59,5,0.1,105.07
CA-2019-809922,1/12/2019,1/15/2019,Same Day,ID-28343,Home Office,United States,New York,Illinois,Central,Furniture,Chairs,442.72,2,0.2,50.32
CA-2019-911131,10/30/2017,10/31/2017,First Class,ID-69054,Corporate,United States,Los Angeles,New York,South,Office Supplies,Phones,682.9,7,0,142.64
CA-2018-936821,5/19/2017,5/25/2017,Standard Class,ID-20752,Corporate,United States,Los Angeles,Florida,East,Technology,Accessories,323.51,2,0,-31.68
CA-2018-566339,1/7/2018,1/14/2018,First Class,ID-23399,Consumer,United States,New York,Texas,South,Office Supplies,Tables,559.19,7,0,-50.04
CA-2018-681141,7/9/2016,7/14/2016,First Class,ID-60493,Consumer,United States,Chicago,Florida,South,Furniture,Tables,906.16,4,0.1,142.01
CA-2017-245584,7/4/2017,7/7/2017,First Class,ID-74634,Consumer,United States,New York,Texas,South,Office Supplies,Accessories,306.75,2,0.2,0.17
CA-2017-855917,7/4/2019,7/8/2019,Second Class,ID-70012,Consumer,United States,Los Angeles,New York,West,Office Supplies,Binders,843.2,7,0.2,51.33
CA-2019-955088,8/26/2019,8/31/2019,Second Class,ID-49378,Corporate,United States,Phoenix,Texas,South,Office Supplies,Phones,964.93,6,0.2,149.72
CA-2019-703853,5/11/2017,5/14/2017,Same Day,ID-46739,Corporate,United States,Chicago,California,East,Technology,Tables,188.13,9,0,52.9
CA-2019-842776,3/5/2017,3/9/2017,First Class,ID-19064,Corporate,United States,Houston,Texas,Central,Furniture,Binders,662.08,7,0.3,-32.63
CA-2019-710527,3/31/2018,4/5/2018,Same Day,ID-81256,Consumer,United States,Chicago,Illinois,West,Furniture,Phones,661.03,6,0.1,94.47
CA-2016-690579,8/14/2019,8/20/2019,Same Day,ID-53463,Corporate,United States,New York,California,West,Office Supplies,Phones,515.57,9,0.1,36.34
CA-2019-585556,10/23/2019,10/28/2019,Second Class,ID-55215,Consumer,United States,Houston,California,Central,Office Supplies,Chairs,124.91,3,0.2,2.47
CA-2019-922366,2/27/2017,3/4/2017,Same Day,ID-55652,Corporate,United States,New York,Florida,South,Office Supplies,Chairs,307.26,2,0,73.64
CA-2016-810032,12/2/2016,12/8/2016,Second Class,ID-77632,Consumer,United States,Phoenix,Texas,Central,Technology,Accessories,958.88,4,0.3,101.96
CA-2017-771590,9/8/2019,9/12/2019,Same Day,ID-13826,Home Office,United States,Phoenix,Texas,South,Technology,Accessories,394.95,4,0.1,4.03
